associativity,ssd,hdd,s1i1,s1i16,s16i1,s16i16
2,596.1094,2716.3564,2115.924,1589.438,1808.465,1578.757
4,596.1094,2716.3564,2332.579,1750.683,2147.245,1743.736
8,596.1094,2716.3564,1848.589,1637.408,2111.278,1654.887
16,596.1094,2716.3564,1602.808,1669.602,2293.298,1828.552
32,596.1094,2716.3564,1479.417,1576.317,2727.534,1690.878
128,596.1094,2716.3564,1651.581,1684.116,3377.097,1727.649
512,596.1094,2716.3564,1529.619,1486.866,3627.053,1577.661
2048,596.1094,2716.3564,1503.529,1627.435,3243.517,1491.798
8192,596.1094,2716.3564,1498.781,1435.279,2581.669,1494.103
32768,596.1094,2716.3564,1788.7,1797.279,2497.159,1801.804
131072,596.1094,2716.3564,5019.408,4815.098,6351.93,5026.96
